# Each line was generated during the negotiation phase, except for the last ones, which was generated right before the end of the program.

Round: 1; player: Investor1; money:120
Round: 1; player: Investor2; money:120
Round: 1; player: Investor3; money:120
Round: 1; player: Investor4; money:120
Round: 1; player: Manager2; money:120
Round: 1; player: Manager1; money:120
Round: 2; player: Investor1; money:110
Round: 2; player: Investor2; money:120
Round: 2; player: Investor3; money:110
Round: 2; player: Investor4; money:150
Round: 2; player: Manager2; money:140
Round: 2; player: Manager1; money:170
Round: 3; player: Investor1; money:140
Round: 3; player: Investor2; money:120
Round: 3; player: Investor3; money:90
Round: 3; player: Investor4; money:180
Round: 3; player: Manager2; money:160
Round: 3; player: Manager1; money:200
Round: 4; player: Investor1; money:140
Round: 4; player: Investor2; money:120
Round: 4; player: Investor3; money:90
Round: 4; player: Investor4; money:210
Round: 4; player: Manager2; money:180
Round: 4; player: Manager1; money:210
Round: 5; player: Investor1; money:170
Round: 5; player: Investor2; money:120
Round: 5; player: Investor3; money:70
Round: 5; player: Investor4; money:240
Round: 5; player: Manager2; money:200
Round: 5; player: Manager1; money:230
Round: 6; player: Investor1; money:210
Round: 6; player: Investor2; money:120
Round: 6; player: Investor3; money:140
Round: 6; player: Investor4; money:270
Round: 6; player: Manager2; money:220
Round: 6; player: Manager1; money:230
